Blancas;Negras;Resultado Blancas;Resultado Negras;ECO;Apertura;Variaci¢n
Stockfish 16 64-bit 4CPU;RubiChess 20230410 64-bit 4CPU;1;0;E81; King's Indian Defense, Saemisch Variation;
RubiChess 20230410 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;1;0;E11;Defensa Bogo India;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Velvet 5.2.0 64-bit 4CPU;1;0;E04;Apertura Catalana;
Velvet 5.2.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E04;Apertura Catalana;
Deep Sjeng 3.6 a16 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Deep Sjeng 3.6 a16 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E55; Nimzo-Indian Defense, 4.e3, Gligoric System;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;1;0;E55; Nimzo-Indian Defense, 4.e3, Gligoric System;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;1;0;E92; King's Indian Defense, Orthodox Variation;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;1;0;E66; King's Indian Defense, Fianchetto Variation;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;1;0;E15;Defensa India de Dama;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E92; King's Indian Defense, Orthodox Variation;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E66; King's Indian Defense, Fianchetto Variation;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E86; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;1;0;E86; King's Indian Defense, Saemisch Variation;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E20; Nimzo-Indian Defense;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;0,5;0,5;E20; Nimzo-Indian Defense;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E97;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;1;0;E97;Defensa India de Rey;
Caissa 1.11 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E46; Nimzo-Indian Defense, 4.e3;
Stockfish 16 64-bit 4CPU;Caissa 1.11 64-bit 4CPU;0,5;0,5;E46; Nimzo-Indian Defense, 4.e3;
Marvin 6.2.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E92; King's Indian Defense, Orthodox Variation;
Stockfish 16 64-bit 4CPU;Marvin 6.2.0 64-bit 4CPU;1;0;E92; King's Indian Defense, Orthodox Variation;
Clover 5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Clover 5.0 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Caissa 1.11 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Caissa 1.11 64-bit 4CPU;1;0;E54;Defensa Nimzo- India;
Caissa 1.11 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E86; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Caissa 1.11 64-bit 4CPU;1;0;E86; King's Indian Defense, Saemisch Variation;
Caissa 1.11 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E13;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Caissa 1.11 64-bit 4CPU;1;0;E13;Defensa India de Dama;
Clover 6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Clover 6.0 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Marvin 6.2.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E21; Nimzo-Indian Defense;
Stockfish 16 64-bit 4CPU;Marvin 6.2.0 64-bit 4CPU;0,5;0,5;E21; Nimzo-Indian Defense;
Clover 6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E74; King's Indian Defense, Four Pawns Attack;
Stockfish 16 64-bit 4CPU;Clover 6.0 64-bit 4CPU;1;0;E74; King's Indian Defense, Four Pawns Attack;
Alexandria 4.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E46; Nimzo-Indian Defense, 4.e3;
Stockfish 16 64-bit 4CPU;Alexandria 4.0 64-bit 4CPU;1;0;E46; Nimzo-Indian Defense, 4.e3;
Alexandria 4.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Stockfish 16 64-bit 4CPU;Alexandria 4.0 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Arasan 24.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E06; Catalan Opening, Closed;
Stockfish 16 64-bit 4CPU;Arasan 24.0 64-bit 4CPU;1;0;E06; Catalan Opening, Closed;
Arasan 24.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E86; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Arasan 24.0 64-bit 4CPU;0,5;0,5;E86; King's Indian Defense, Saemisch Variation;
Arasan 24.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E94; King's Indian Defense, Orthodox Variation;
Stockfish 16 64-bit 4CPU;Arasan 24.0 64-bit 4CPU;1;0;E94; King's Indian Defense, Orthodox Variation;
Arasan 24.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E01; Catalan Opening, Closed;
Stockfish 16 64-bit 4CPU;Arasan 24.0 64-bit 4CPU;1;0;E01; Catalan Opening, Closed;
Caissa 1.12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E21; Nimzo-Indian Defense;
Stockfish 16 64-bit 4CPU;Caissa 1.12 64-bit 4CPU;0,5;0,5;E21; Nimzo-Indian Defense;
Caissa 1.12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Caissa 1.12 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Booot 7.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E12;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Booot 7.2 64-bit 4CPU;1;0;E12;Defensa India de Dama;
Booot 7.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E35; Nimzo-Indian Defense, Classical Variation;
Stockfish 16 64-bit 4CPU;Booot 7.2 64-bit 4CPU;0,5;0,5;E35; Nimzo-Indian Defense, Classical Variation;
Booot 7.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E73;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Booot 7.2 64-bit 4CPU;1;0;E73;Defensa India de Rey;
Velvet 5.3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E53; Nimzo-Indian Defense, 4.e3, Main Line;
Stockfish 16 64-bit 4CPU;Velvet 5.3.0 64-bit 4CPU;1;0;E53; Nimzo-Indian Defense, 4.e3, Main Line;
Rebel EAS 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Rebel EAS 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Rebel EAS 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Rebel EAS 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Booot 7.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Stockfish 16 64-bit 4CPU;Booot 7.2 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Booot 7.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E00; Catalan Opening;
Stockfish 16 64-bit 4CPU;Booot 7.2 64-bit 4CPU;0,5;0,5;E00; Catalan Opening;
Velvet 5.3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Velvet 5.3.0 64-bit 4CPU;1;0;E60;Defensa India de Rey;
Rebel EAS 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E62; King's Indian Defense, Fianchetto Variation;
Stockfish 16 64-bit 4CPU;Rebel EAS 64-bit 4CPU;1;0;E62; King's Indian Defense, Fianchetto Variation;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;1;0;E30; Nimzo-Indian Defense, Leningrad System;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Rebel EAS 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E01; Catalan Opening, Closed;
Stockfish 16 64-bit 4CPU;Rebel EAS 64-bit 4CPU;0,5;0,5;E01; Catalan Opening, Closed;
Ginkgo Valencia 1.01 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E62; King's Indian Defense, Fianchetto Variation;
Stockfish 16 64-bit 4CPU;Ginkgo Valencia 1.01 64-bit 4CPU;1;0;E62; King's Indian Defense, Fianchetto Variation;
Ginkgo Valencia 1.01 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E35; Nimzo-Indian Defense, Classical Variation;
Stockfish 16 64-bit 4CPU;Ginkgo Valencia 1.01 64-bit 4CPU;0,5;0,5;E35; Nimzo-Indian Defense, Classical Variation;
Ginkgo Valencia 1.01 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E63; King's Indian Defense, Fianchetto Variation;
Stockfish 16 64-bit 4CPU;Ginkgo Valencia 1.01 64-bit 4CPU;1;0;E63; King's Indian Defense, Fianchetto Variation;
RubiChess 20230918 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E97;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;RubiChess 20230918 64-bit 4CPU;0,5;0,5;E97;Defensa India de Rey;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E47; Nimzo-Indian Defense, 4.e3;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;1;0;E47; Nimzo-Indian Defense, 4.e3;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Ginkgo Valencia 1.01 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Ginkgo Valencia 1.01 64-bit 4CPU;1;0;E32;Defensa Nimzo- India;
Dragon by Komodo 3.3 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E18; Nimzo-Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Dragon by Komodo 3.3 64-bit 4CPU;0,5;0,5;E18; Nimzo-Indian Defense, Saemisch Variation;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E88; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E88; King's Indian Defense, Saemisch Variation;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E97;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;1;0;E97;Defensa India de Rey;
Caissa 1.13.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Caissa 1.13.1 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Ethereal 14.25 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Ethereal 14.25 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Caissa 1.13.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E91; King's Indian Defense, Kazakh Variation;
Stockfish 16 64-bit 4CPU;Caissa 1.13.1 64-bit 4CPU;1;0;E91; King's Indian Defense, Kazakh Variation;
Viridithas 11.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Viridithas 11.0.0 64-bit 4CPU;1;0;E81; King's Indian Defense, Saemisch Variation;
Uralochka 3.40a 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E56; Nimzo-Indian Defense, 4.e3, Karpov Variation;
Stockfish 16 64-bit 4CPU;Uralochka 3.40a 64-bit 4CPU;0,5;0,5;E56; Nimzo-Indian Defense, 4.e3, Karpov Variation;
Caissa 1.13.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Stockfish 16 64-bit 4CPU;Caissa 1.13.1 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Seer 2.7.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Seer 2.7.0 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Viridithas 11.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E46; Nimzo-Indian Defense, 4.e3;
Stockfish 16 64-bit 4CPU;Viridithas 11.0.0 64-bit 4CPU;1;0;E46; Nimzo-Indian Defense, 4.e3;
Uralochka 3.40a 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E69; King's Indian Defense, Fianchetto Variation, Classical Variation;
Stockfish 16 64-bit 4CPU;Uralochka 3.40a 64-bit 4CPU;1;0;E68; King's Indian Defense, Fianchetto Variation;
Uralochka 3.40a 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E58;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Uralochka 3.40a 64-bit 4CPU;0,5;0,5;E58;Defensa Nimzo- India;
Uralochka 3.40a 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Uralochka 3.40a 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Seer 2.7.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Seer 2.7.0 64-bit 4CPU;1;0;E81; King's Indian Defense, Saemisch Variation;
Caissa 1.14.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Caissa 1.14.1 64-bit 4CPU;1;0;E32;Defensa Nimzo- India;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;1;0;E32;Defensa Nimzo- India;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E06; Catalan Opening, Closed;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;0,5;0,5;E06; Catalan Opening, Closed;
Carp 3.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E53; Nimzo-Indian Defense, 4.e3, Main Line;
Stockfish 16 64-bit 4CPU;Carp 3.0.0 64-bit 4CPU;1;0;E53; Nimzo-Indian Defense, 4.e3, Main Line;
Caissa 1.14.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Caissa 1.14.1 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Caissa 1.14.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Caissa 1.14.1 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Caissa 1.14.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E39; Nimzo-Indian Defense, Classical Variation;
Stockfish 16 64-bit 4CPU;Caissa 1.14.1 64-bit 4CPU;1;0;E39; Nimzo-Indian Defense, Classical Variation;
Caissa 1.14.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E58;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Caissa 1.14.1 64-bit 4CPU;0,5;0,5;E58;Defensa Nimzo- India;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E12;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;0,5;0,5;E12;Defensa India de Dama;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;0,5;0,5;E81; King's Indian Defense, Saemisch Variation;
